type,channel,model,title,date,id (unique),content,category,isDemo
LAUNCH,Email,R 1300 R,Launch Announcement Email,2025-05-27,R1300R_LAUNCH_EMAIL_001,"Subject: The new BMW R 1300 R just landed\n\nDear [Name],\n\nThe genie is out of the bottle. The all-new BMW R 1300 R has arrived - a versatile naked bike that adapts to your every desire.\n\nWith its powerful 1300cc Boxer engine delivering 145hp of pure excitement, this isn't just another motorcycle. It's sexy versatility personified. Sharp design meets dynamic performance, creating a bike that's sportier than ever yet suitable for any occasion.\n\nKey highlights:\n• Lighter than before at just 239kg\n• Dynamic ESA suspension as standard\n• Keyless Ride for ultimate convenience\n• Sport-focused ergonomics with comfort options\n\nBe among the first to experience the R 1300 R. Book your exclusive preview today.\n\n[CTA: Reserve Your Test Ride]\n\nYour BMW Motorrad Team",Launch announcement,FALSE
LAUNCH,Whatsapp,R 1300 R,Pre-Launch Teaser WhatsApp,2025-05-27,R1300R_LAUNCH_WA_001,"🏍️ The new R 1300 R is here!\n\nThe genie has been unleashed - sexy versatility meets Boxer punch. Ready to experience exactly what you want from a motorcycle?\n\n✅ 145hp of pure performance\n✅ Sportier than ever\n✅ Your style, your way\n\nReply YES for exclusive first-look details!",Pre-launch teaser,FALSE
LAUNCH,Facebook,R 1300 R,Facebook Launch Post,2025-05-27,R1300R_LAUNCH_FB_001,"🔥 INTRODUCING THE NEW BMW R 1300 R 🔥\n\nThe Genie is out! Our most versatile naked bike just got even better. \n\nWith 145hp of Boxer power, Dynamic ESA suspension, and a sharp new design that turns heads, the R 1300 R delivers exactly what you want - whether that's carving corners or cruising boulevards.\n\n#BMW #R1300R #BMWMotorrad #SexyVersatility #BornForTheCurve\n\n[Link to website]",Social launch,FALSE
LAUNCH,Instagram,R 1300 R,Instagram Launch Post,2025-05-27,R1300R_LAUNCH_IG_001,The wait is over. Meet the R 1300 R - where sexy versatility meets pure performance. 🏍️⚡\n\nSwipe to discover why this 145hp naked bike is exactly what you've been waiting for.\n\n#BMWR1300R #TheGenie #BMWMotorrad #NakedBike #BoxerEngine #BornForTheCurve #SexyVersatility #NewBike #MotorcycleLife,Social launch,FALSE
LAUNCH,Social Media Ad,R 1300 R,Social Media Ad Copy,2025-05-27,R1300R_LAUNCH_AD_001,Headline: New BMW R 1300 R - Exactly What You Want\n\nPrimary text: The most versatile naked bike just got sportier. 145hp Boxer engine. Dynamic suspension. Sharp design. Book your test ride today.\n\nCTA: Book Test Ride,Paid social,FALSE
LAUNCH,Email,R 1300 RT,Launch Announcement Email,2025-05-27,R1300RT_LAUNCH_EMAIL_001,"Subject: The new BMW R 1300 RT just landed<br><br>Dear [Name],<br><br>Be in full command. The all-new BMW R 1300 RT is here - the hidden champion that delivers ultimate expertise for the most discerning riders.<br><br>With 145hp from the legendary 1300cc Boxer engine, advanced technology including Riding Assistant with front and rear radar, and the revolutionary DCA suspension, this is touring supremacy redefined. Despite its comprehensive capabilities, the RT appears lighter and more dynamic than ever.<br><br>Key highlights:<br>• 145hp Boxer power with refined delivery<br>• Riding Assistant as standard with ACC<br>• Audio System 2.0 included<br>• Variable luggage system available<br>• Revolutionary DCA suspension option<br><br>Command your journey. Book your exclusive preview today.<br><br>[CTA: Reserve Your Test Ride]<br><br>Your BMW Motorrad Team",Launch announcement,FALSE
LAUNCH,Whatsapp,R 1300 RT,Pre-Launch Teaser WhatsApp,2025-05-27,R1300RT_LAUNCH_WA_001,🏍️ The new R 1300 RT is here!<br><br>The Commander has arrived - ultimate touring expertise with hidden performance. Ready to be in full command?<br><br>✅ 145hp refined power<br>✅ Advanced rider assistance<br>✅ Supreme comfort & protection<br>✅ Audio system included<br><br>Reply YES for exclusive first-look details!,Pre-launch teaser,FALSE
LAUNCH,Facebook,R 1300 RT,Facebook Launch Post,2025-05-27,R1300RT_LAUNCH_FB_001,"🔥 INTRODUCING THE NEW BMW R 1300 RT 🔥<br><br>The Commander is here! Be in full command with our ultimate touring expertise.<br><br>With 145hp Boxer power, comprehensive rider assistance technology, and unmatched comfort, the R 1300 RT is the hidden champion for riders who demand supremacy on every journey.<br><br>#BMW #R1300RT #BMWMotorrad #TheCommander #UltimateTouring #BeInCommand<br><br>[Link to website]",Social launch,FALSE
LAUNCH,Instagram,R 1300 RT,Instagram Launch Post,2025-05-27,R1300RT_LAUNCH_IG_001,The Commander has arrived. Meet the R 1300 RT - where ultimate expertise meets supreme touring capability. 🏍️👑<br><br>Be in full command. Swipe to discover the hidden champion of touring motorcycles.<br><br>#BMWR1300RT #TheCommander #BMWMotorrad #UltimateTouring #BoxerEngine #BeInFullCommand #HiddenChampion #NewBike,Social launch,FALSE
LAUNCH,Social Media Ad,R 1300 RT,Social Media Ad Copy,2025-05-27,R1300RT_LAUNCH_AD_001,Headline: New BMW R 1300 RT - Be In Full Command<br><br>Primary text: The ultimate touring expertise. 145hp Boxer engine. Advanced rider assistance. Supreme comfort. Book your test ride today.<br><br>CTA: Book Test Ride,Paid social,FALSE
LAUNCH,Email,R 1300 RS,Launch Announcement Email,2025-05-27,R1300RS_LAUNCH_EMAIL_001,"Subject: The new BMW R 1300 RS just landed<br><br>Dear [Name],<br><br>Turn your tour into a sports event. The all-new BMW R 1300 RS is here - a refined race tourer that brings persistent excitement to every mile.<br><br>With 145hp from the legendary 1300cc Boxer engine and a weight reduction to just 245kg, this is the sportiest RS we've ever created. Every second becomes a celebration of joy when you're carving through corners or conquering continents.<br><br>Key highlights:<br>• Lighter and more agile than ever at 245kg<br>• Dynamic ESA suspension as standard<br>• Riding Assistant with rear radar<br>• Sporty ergonomics with touring capability<br>• Iconic BMW split face design<br><br>Be among the first to experience the thrill. Book your exclusive preview today.<br><br>[CTA: Reserve Your Test Ride]<br><br>Your BMW Motorrad Team",Launch announcement,FALSE
LAUNCH,Whatsapp,R 1300 RS,Pre-Launch Teaser WhatsApp,2025-05-27,R1300RS_LAUNCH_WA_001,"🏍️ The new R 1300 RS is here!<br><br>The Marathon Racer has arrived - where touring meets pure sporting passion. Ready to turn every journey into a celebration?<br><br>✅ 145hp Boxer power<br>✅ Lighter, sportier, faster<br>✅ Race-bred touring excellence<br><br>Reply YES for exclusive first-look details!",Pre-launch teaser,FALSE
LAUNCH,Facebook,R 1300 RS,Facebook Launch Post,2025-05-27,R1300RS_LAUNCH_FB_001,"🔥 INTRODUCING THE NEW BMW R 1300 RS 🔥<br><br>The Marathon Racer is here! Turn your tour into a sports event with our most refined race tourer ever.<br><br>With 145hp of Boxer power, weight-saving design, and race-inspired ergonomics, the R 1300 RS delivers persistent excitement whether you're attacking alpine passes or crossing continents.<br><br>#BMW #R1300RS #BMWMotorrad #MarathonRacer #RaceTourer #PersistentExcitement<br><br>[Link to website]",Social launch,FALSE
LAUNCH,Instagram,R 1300 RS,Instagram Launch Post,2025-05-27,R1300RS_LAUNCH_IG_001,The Marathon Racer has arrived. Meet the R 1300 RS - where refined touring meets race-bred performance. 🏍️🏁<br><br>Every second a celebration of joy. Swipe to discover the sportiest RS ever built.<br><br>#BMWR1300RS #MarathonRacer #BMWMotorrad #RaceTourer #BoxerEngine #SportTouring #PersistentExcitement #NewBike,Social launch,FALSE
LAUNCH,Social Media Ad,R 1300 RS,Social Media Ad Copy,2025-05-27,R1300RS_LAUNCH_AD_001,Headline: New BMW R 1300 RS - Turn Your Tour Into A Sports Event<br><br>Primary text: The sportiest RS ever built. 145hp Boxer engine. Race-inspired ergonomics. Touring capability. Book your test ride today.<br><br>CTA: Book Test Ride,Paid social,FALSE
GENERATE TEST RIDES,Email,R 1300 R,Test Ride Invitation Email,2025-05-27,R1300R_TESTRIDE_EMAIL_001,"Subject: Your exclusive R 1300 R test ride awaits\n\nDear [Name],\n\nYou showed interest in the new R 1300 R - now it's time to experience the genie firsthand.\n\nWe're offering exclusive test rides to our valued customers. Feel the 145hp Boxer punch, experience the sporty ergonomics, and discover why this naked bike delivers exactly what you want.\n\nAvailable test ride slots:\n[Date/Time slots]\n\nWhat to expect:\n• 30-minute guided ride\n• Full safety briefing\n• Refreshments and R 1300 R presentation\n• Special pre-order pricing discussion\n\n[CTA: Book Your Slot]\n\nLimited slots available - reserve yours today!",Test ride invitation,FALSE
GENERATE TEST RIDES,Whatsapp,R 1300 R,Test Ride Invitation Whatsapp,2025-05-27,R1300R_TESTRIDE_WA_001,"Hi [Name]! 🏍️\n\nThe R 1300 R is ready for test rides! Want to feel 145hp of Boxer power for yourself?\n\nWe have slots available:\n📅 [Dates]\n⏰ Morning & afternoon\n\nReply with your preferred time and we'll confirm! First come, first served 🔥",Test ride booking,FALSE
GENERATE TEST RIDES,SMS,R 1300 R,Test Ride Invitation SMS,2025-05-27,R1300R_TESTRIDE_SMS_001,BMW: R 1300 R test rides now available! Experience 145hp of naked bike excellence. Limited slots. Reply YES to book or call [number],Test ride invitation,FALSE
GENERATE TEST RIDES,SMS,R 1300 R,Test Ride Booking Confirmation SMS,2025-05-27,R1300R_TESTRIDE_SMS_002,BMW: Confirmed! Your R 1300 R test ride is booked for [date] at [time]. Please bring your license. Reply CANCEL if needed. See you soon!,Booking confirmation,FALSE
GENERATE TEST RIDES,Email,R 1300 R,Test Ride Event Invitation,2025-05-27,R1300R_TESTRIDE_EMAIL_002,"Subject: You're invited: R 1300 R Exclusive Ride Day\n\nDear [Name],\n\nJoin us for an exclusive R 1300 R ride event!\n\nDate: [Date]\nTime: 10am - 4pm\nLocation: [Dealership]\n\nExperience:\n• Multiple test rides throughout the day\n• Meet our BMW experts\n• Refreshments and lunch provided\n• Exclusive event-only offers\n• R 1300 R accessories showcase\n\nSpaces limited to 20 riders.\n\n[CTA: Reserve Your Spot]\n\nYour BMW Motorrad Team",Event invitation,FALSE
GENERATE TEST RIDES,Email,R 1300 R,Test Ride Reminder Email,2025-05-27,R1300R_TESTRIDE_EMAIL_003,"Subject: Tomorrow: Your R 1300 R test ride\n\nHi [Name],\n\nJust a reminder - your R 1300 R test ride is tomorrow at [time]!\n\nWhat to bring:\n• Valid motorcycle license\n• Riding gear (helmet, gloves, jacket)\n• Your excitement!\n\nCan't wait to show you what 145hp of sexy versatility feels like.\n\nSee you tomorrow!\n\n[CTA: Get Directions]",Reminder,FALSE
GENERATE TEST RIDES,Instagram,R 1300 R,Book a Test Ride Post,2025-05-27,R1300R_TESTRIDE_IG_001,"Ready to unleash the genie? 🧞‍♂️\n\nR 1300 R test rides now available! Feel the Boxer punch, experience the sporty ergonomics, discover your perfect ride.\n\nDM us or click the link in bio to book your slot!\n\n#BMWR1300R #TestRide #BMWMotorrad #NakedBike #BookNow",Social booking,FALSE
GENERATE TEST RIDES,Facebook,R 1300 R,Book a Test Ride Post,2025-05-27,R1300R_TESTRIDE_FB_001,🏍️ R 1300 R TEST RIDES NOW OPEN! 🏍️\n\nWant to experience 145hp of pure versatility? Book your exclusive test ride today!\n\n✅ 30-minute guided rides\n✅ Professional instruction\n✅ Special test ride offers\n\nLimited slots available this week. Don't miss out!\n\n[Book Now Button],Social booking,FALSE
GENERATE TEST RIDES,Email,R 1300 RT,Test Ride Invitation Email,2025-05-27,R1300RT_TESTRIDE_EMAIL_001,"Subject: Your exclusive R 1300 RT command experience awaits<br><br>Dear [Name],<br><br>You showed interest in the new R 1300 RT - now it's time to experience The Commander firsthand.<br><br>We're offering exclusive test rides to our valued customers. Feel the refined 145hp Boxer power, experience the advanced rider assistance systems, and discover why this hidden champion delivers ultimate touring expertise.<br><br>Available test ride slots:<br>[Date/Time slots]<br><br>What to expect:<br>• 60-minute comprehensive test experience<br>• Full technology demonstration<br>• Refreshments and R 1300 RT presentation<br>• Audio system and comfort features showcase<br>• Special pre-order pricing discussion<br><br>[CTA: Book Your Slot]<br><br>Limited command positions available - reserve yours today!",Test ride invitation,FALSE
GENERATE TEST RIDES,Whatsapp,R 1300 RT,Test Ride Invitation Whatsapp,2025-05-27,R1300RT_TESTRIDE_WA_001,Hi [Name]! 🏍️<br><br>The R 1300 RT Commander is ready for test rides! Want to experience ultimate touring expertise?<br><br>We have slots available:<br>📅 [Dates]<br>⏰ Extended test experiences<br><br>Reply with your preferred time and we'll confirm! Take command today 👑,Test ride booking,FALSE
GENERATE TEST RIDES,SMS,R 1300 RT,Test Ride Invitation SMS,2025-05-27,R1300RT_TESTRIDE_SMS_001,BMW: R 1300 RT test rides available! Experience The Commander - ultimate touring expertise. Reply YES to book or call [number],Test ride invitation,FALSE
GENERATE TEST RIDES,SMS,R 1300 RT,Test Ride Booking Confirmation SMS,2025-05-27,R1300RT_TESTRIDE_SMS_002,BMW: Confirmed! Your R 1300 RT command experience booked for [date] at [time]. Please bring your license. See you soon!,Booking confirmation,FALSE
GENERATE TEST RIDES,Email,R 1300 RT,Test Ride Event Invitation,2025-05-27,R1300RT_TESTRIDE_EMAIL_002,"Subject: You're invited: R 1300 RT Ultimate Touring Experience<br><br>Dear [Name],<br><br>Join us for an exclusive R 1300 RT touring excellence event!<br><br>Date: [Date]<br>Time: 9am - 6pm<br>Location: [Dealership]<br><br>Experience:<br>• Extended touring demonstration rides<br>• Technology masterclass (DCA, Riding Assistant, Audio Pro)<br>• Comfort features workshop<br>• Gourmet lunch stop<br>• Exclusive event-only offers<br>• Complete touring accessories showcase<br><br>Spaces limited to 12 commanders.<br><br>[CTA: Reserve Your Position]<br><br>Your BMW Motorrad Team",Event invitation,FALSE
GENERATE TEST RIDES,Email,R 1300 RT,Test Ride Reminder Email,2025-05-27,R1300RT_TESTRIDE_EMAIL_003,"Subject: Tomorrow: Take command with the R 1300 RT<br><br>Hi [Name],<br><br>Just a reminder - your R 1300 RT command experience is tomorrow at [time]!<br><br>What to bring:<br>• Valid motorcycle license<br>• Your preferred touring gear<br>• Questions about features and technology<br>• Your sense of adventure!<br><br>We'll demonstrate the full suite of technology including the Audio System 2.0 and Riding Assistant.<br><br>See you tomorrow, Commander!<br><br>[CTA: Get Directions]",Reminder,FALSE
GENERATE TEST RIDES,Instagram,R 1300 RT,Book a Test Ride Post,2025-05-27,R1300RT_TESTRIDE_IG_001,Ready to be in full command? 👑<br><br>R 1300 RT test rides now available! Experience the hidden champion's ultimate touring expertise.<br><br>DM us or click the link in bio to book your command position!<br><br>#BMWR1300RT #TestRide #BMWMotorrad #TheCommander #BookNow,Social booking,FALSE
GENERATE TEST RIDES,Facebook,R 1300 RT,Book a Test Ride Post,2025-05-27,R1300RT_TESTRIDE_FB_001,🏍️ R 1300 RT TEST RIDES NOW OPEN! 🏍️<br><br>Experience The Commander - where ultimate expertise meets supreme comfort!<br><br>✅ Extended test experiences<br>✅ Full technology demonstration<br>✅ Special test ride offers<br><br>Limited command positions available. Book your ultimate touring experience!<br><br>[Book Now Button],Social booking,FALSE
GENERATE TEST RIDES,Email,R 1300 RS,Test Ride Invitation Email,2025-05-27,R1300RS_TESTRIDE_EMAIL_001,"Subject: Your exclusive R 1300 RS test ride awaits<br><br>Dear [Name],<br><br>You showed interest in the new R 1300 RS - now it's time to experience the Marathon Racer firsthand.<br><br>We're offering exclusive test rides to our valued customers. Feel the 145hp Boxer power, experience the race-inspired ergonomics, and discover why every second on this refined tourer is a celebration of joy.<br><br>Available test ride slots:<br>[Date/Time slots]<br><br>What to expect:<br>• 45-minute guided tour ride<br>• Full safety briefing<br>• Refreshments and R 1300 RS presentation<br>• Special pre-order pricing discussion<br><br>[CTA: Book Your Slot]<br><br>Limited slots available - reserve yours today!",Test ride invitation,FALSE
GENERATE TEST RIDES,Whatsapp,R 1300 RS,Test Ride Invitation Whatsapp,2025-05-27,R1300RS_TESTRIDE_WA_001,"Hi [Name]! 🏍️<br><br>The R 1300 RS Marathon Racer is ready for test rides! Want to feel what persistent excitement really means?<br><br>We have slots available:<br>📅 [Dates]<br>⏰ Morning & afternoon tours<br><br>Reply with your preferred time and we'll confirm! First come, first served 🏁",Test ride booking,FALSE
GENERATE TEST RIDES,SMS,R 1300 RS,Test Ride Invitation SMS,2025-05-27,R1300RS_TESTRIDE_SMS_001,BMW: R 1300 RS test rides now available! Experience the Marathon Racer - 145hp of refined touring excellence. Reply YES to book or call [number],Test ride invitation,FALSE
GENERATE TEST RIDES,SMS,R 1300 RS,Test Ride Booking Confirmation SMS,2025-05-27,R1300RS_TESTRIDE_SMS_002,BMW: Confirmed! Your R 1300 RS test ride is booked for [date] at [time]. Please bring your license. Reply CANCEL if needed. See you soon!,Booking confirmation,FALSE
GENERATE TEST RIDES,Email,R 1300 RS,Test Ride Event Invitation,2025-05-27,R1300RS_TESTRIDE_EMAIL_002,"Subject: You're invited: R 1300 RS Marathon Ride Event<br><br>Dear [Name],<br><br>Join us for an exclusive R 1300 RS touring event!<br><br>Date: [Date]<br>Time: 9am - 5pm<br>Location: [Dealership]<br><br>Experience:<br>• Extended test rides on scenic routes<br>• Professional ride leaders<br>• Lunch stop at [scenic location]<br>• Exclusive event-only offers<br>• R 1300 RS touring accessories showcase<br><br>Spaces limited to 15 riders.<br><br>[CTA: Reserve Your Spot]<br><br>Your BMW Motorrad Team",Event invitation,FALSE
GENERATE TEST RIDES,Email,R 1300 RS,Test Ride Reminder Email,2025-05-27,R1300RS_TESTRIDE_EMAIL_003,"Subject: Tomorrow: Your R 1300 RS marathon begins<br><br>Hi [Name],<br><br>Just a reminder - your R 1300 RS test ride is tomorrow at [time]!<br><br>What to bring:<br>• Valid motorcycle license<br>• Full riding gear for touring comfort<br>• Your spirit of adventure!<br><br>Can't wait to show you why every second on the RS is a celebration of joy.<br><br>See you tomorrow!<br><br>[CTA: Get Directions]",Reminder,FALSE
GENERATE TEST RIDES,Instagram,R 1300 RS,Book a Test Ride Post,2025-05-27,R1300RS_TESTRIDE_IG_001,Ready to turn your tour into a sports event? 🏁<br><br>R 1300 RS test rides now available! Experience the Marathon Racer's perfect blend of sport and touring.<br><br>DM us or click the link in bio to book your ride!<br><br>#BMWR1300RS #TestRide #BMWMotorrad #MarathonRacer #BookNow,Social booking,FALSE
GENERATE TEST RIDES,Facebook,R 1300 RS,Book a Test Ride Post,2025-05-27,R1300RS_TESTRIDE_FB_001,🏍️ R 1300 RS TEST RIDES NOW OPEN! 🏍️<br><br>Experience the Marathon Racer - where refined touring meets race-bred performance!<br><br>✅ Extended test routes available<br>✅ Professional instruction<br>✅ Special test ride offers<br><br>Limited slots available this week. Book your sports touring adventure!<br><br>[Book Now Button],Social booking,FALSE
IN-STORE,Poster,R 1300 R,In-Store Feature Poster Copy,2025-05-27,R1300R_INSTORE_POSTER_001,THE GENIE IS HERE\n\nR 1300 R\n\nSEXY VERSATILITY UNLEASHED\n• 145hp Boxer Engine\n• 239kg Lightweight Design\n• Dynamic ESA Suspension\n• Keyless Ride Standard\n\nBORN FOR THE CURVE\n\nTest Ride Today,Feature showcase,FALSE
IN-STORE,Conversation,R 1300 R,Key Features Talking Points Script,2025-05-27,R1300R_INSTORE_SCRIPT_001,"R 1300 R Customer Conversation Guide\n\nOpening: ""The R 1300 R is our most versatile naked bike - we call it 'The Genie' because it delivers exactly what you want.""\n\nKey Points:\n1. Performance: ""145hp from the 1300cc Boxer engine gives you instant torque and that unique BMW character. It's sportier than ever but still comfortable for longer rides.""\n\n2. Weight: ""At just 239kg, it's lighter and more agile - perfect for both city riding and weekend canyon carving.""\n\n3. Technology: ""Dynamic ESA suspension adapts to your riding in real-time. Keyless Ride means you never fumble for keys.""\n\n4. Versatility: ""Sport suspension and ergonomics when you want them, comfort options when you need them. It's your bike, your way.""\n\n5. Design: ""That sharp, modern design isn't just for looks - every angle serves the riding experience.""\n\nClosing: ""Would you like to experience this versatility yourself? I can arrange a test ride.""",Sales guide,FALSE
IN-STORE,Screen,R 1300 R,Digital Screen Copy,2025-05-27,R1300R_INSTORE_SCREEN_001,"[Rotating Display]\n\nSlide 1: R 1300 R - THE GENIE\n""Sexy Versatility Unleashed""\n\nSlide 2: PURE PERFORMANCE\n145hp",149Nm,FALSE
IN-STORE,Poster,R 1300 R,POS Financing Template,2025-05-27,R1300R_INSTORE_FINANCE_001,"MAKE THE R 1300 R YOURS\n\nFrom £[XXX] per month*\n\nExample Finance:\n• £[X,XXX] deposit\n• [X]% APR\n• [48] monthly payments\n• Optional final payment\n\nPlus:\n✓ 3-year warranty\n✓ BMW Motorrad Service Inclusive options\n✓ Trade-in welcome\n\n*Subject to status. T&Cs apply.\n\nSpeak to our team today",Finance promotion,FALSE
IN-STORE,Poster,R 1300 RT,In-Store Feature Poster Copy,2025-05-27,R1300RT_INSTORE_POSTER_001,THE COMMANDER<br><br>R 1300 RT<br><br>BE IN FULL COMMAND<br>• 145hp Boxer Engine<br>• Riding Assistant with ACC<br>• Audio System 2.0 Standard<br>• DCA Suspension Available<br>• Variable Electronic Luggage<br><br>ULTIMATE EXPERTISE<br><br>Test Ride Today,Feature showcase,FALSE
IN-STORE,Conversation,R 1300 RT,Key Features Talking Points Script,2025-05-27,R1300RT_INSTORE_SCRIPT_001,"R 1300 RT Customer Conversation Guide<br><br>Opening: ""The R 1300 RT is The Commander - it puts you in full command with ultimate touring expertise. It's the hidden champion for discerning riders.""<br><br>Key Points:<br>1. Technology Leadership: ""Standard Riding Assistant with front and rear radar, ACC, and lane warnings. It's like having a co-pilot watching everything.""<br><br>2. Comfort Supremacy: ""Audio System 2.0 comes standard. Heated seats and grips warm in seconds. The optional DCA suspension adapts to any load or road automatically.""<br><br>3. Protection: ""Supreme wind and weather protection with adaptive deflectors. You arrive fresh after 500 miles.""<br><br>4. Practicality: ""24L tank, variable electronic luggage, smartphone charging - everything for commanding long distances.""<br><br>5. Hidden Performance: ""Don't let the comfort fool you - with 145hp and dynamic riding modes, this RT is sportier than ever.""<br><br>Closing: ""Would you like to experience what full command feels like? I can arrange a comprehensive test ride.""",Sales guide,FALSE
IN-STORE,Screen,R 1300 RT,Digital Screen Copy,2025-05-27,R1300RT_INSTORE_SCREEN_001,"[Rotating Display]<br><br>Slide 1: R 1300 RT - THE COMMANDER<br>""Be In Full Command""<br><br>Slide 2: REFINED POWER<br>145hp | 149Nm | Supreme Comfort<br><br>Slide 3: TECHNOLOGY<br>Riding Assistant | ACC | Audio 2.0<br><br>Slide 4: ULTIMATE EXPERTISE<br>The Hidden Champion<br><br>Slide 5: COMMAND YOUR TEST RIDE<br>Ask Our Team",Digital display,FALSE
IN-STORE,Poster,R 1300 RT,POS Financing Template,2025-05-27,R1300RT_INSTORE_FINANCE_001,"COMMAND THE R 1300 RT<br><br>From £[XXX] per month*<br><br>Example Finance:<br>• £[X,XXX] deposit<br>• [X]% APR<br>• [48] monthly payments<br>• Optional final payment<br><br>Plus:<br>✓ 3-year warranty<br>✓ Audio System 2.0 included<br>✓ BMW Service Inclusive<br>✓ Premium trade-in values<br><br>*Subject to status. T&Cs apply.<br><br>Take command today",Finance promotion,FALSE
IN-STORE,Poster,R 1300 RS,In-Store Feature Poster Copy,2025-05-27,R1300RS_INSTORE_POSTER_001,THE MARATHON RACER<br><br>R 1300 RS<br><br>TURN YOUR TOUR INTO A SPORTS EVENT<br>• 145hp Boxer Engine<br>• 245kg Lightweight Design<br>• Dynamic ESA Suspension<br>• Riding Assistant with Radar<br>• Race-Inspired Ergonomics<br><br>PERSISTENT EXCITEMENT<br><br>Test Ride Today,Feature showcase,FALSE
